Random Number;;;;;;;;;;;;;;;;;;;;
Dynamic;;;;;;;;;;;;;;;;;;;;
171;199;238;194;145;193;148;139;181;185;Dynamic;;;;;;;;;;
Captured DEC;;;;;;;;;;;Captured HEX;;;;;;;;;
252;164;221;209;165;220;240;180;242;145;;FC;A4;DD;D1;A5;DC;F0;B4;F2;91
152;150;230;147;190;221;215;158;201;188;;98;96;E6;93;BE;DD;D7;9E;C9;BC
202;219;147;193;230;232;175;134;135;240;;CA;DB;93;C1;E6;E8;AF;86;87;F0
224;148;219;144;252;182;145;141;173;218;;E0;94;DB;90;FC;B6;91;8D;AD;DA
211;152;149;169;172;219;216;207;176;190;;D3;98;95;A9;AC;DB;D8;CF;B0;BE
204;136;201;190;152;253;148;222;187;198;;CC;88;C9;BE;98;FD;94;DE;BB;C6
232;186;137;139;238;166;134;179;247;146;;E8;BA;89;8B;EE;A6;86;B3;F7;92
236;186;210;236;153;139;198;148;192;172;;EC;BA;D2;EC;99;8B;C6;94;C0;AC
176;153;247;198;207;198;212;223;209;218;;B0;99;F7;C6;CF;C6;D4;DF;D1;DA
210;236;223;169;181;187;192;138;235;186;;D2;EC;DF;A9;B5;BB;C0;8A;EB;BA
185;239;176;152;166;210;221;183;184;210;;B9;EF;B0;98;A6;D2;DD;B7;B8;D2
129;131;158;223;178;243;128;149;253;132;;81;83;9E;DF;B2;F3;80;95;FD;84
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
;;;;;;;;;;;00;00;00;00;00;00;00;00;00;00
